XAUUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
09/23/2022 00:00,1672.6,1675.86,1639.6,1642.9,-2970,-1.81,
09/22/2022 00:00,1666.83,1684.72,1655.93,1671.81,498,0.30,
09/21/2022 00:00,1666.19,1687.62,1654.6,1667.03,84,0.05,
09/20/2022 00:00,1676.3,1679.13,1660.12,1666.38,-992,-0.60,
09/19/2022 00:00,1677.6,1678.67,1659.57,1675.81,-179,-0.11,
09/16/2022 00:00,1661.6,1679.91,1653.61,1674.74,1314,0.78,
09/15/2022 00:00,1697.57,1697.7,1659.85,1662.33,-3524,-2.12,
09/14/2022 00:00,1702.06,1706.89,1692.9,1697.52,-454,-0.27,
09/13/2022 00:00,1725.54,1731.62,1697.21,1702.04,-2350,-1.38,
09/12/2022 00:00,1717.38,1734.9,1711.7,1725.33,795,0.46,
09/09/2022 00:00,1710.6,1729.25,1709.14,1716.6,600,0.35,
09/08/2022 00:00,1716.54,1728.03,1703.31,1710.58,-596,-0.35,
09/07/2022 00:00,1703.28,1719.27,1690.87,1716.54,1326,0.77,
09/06/2022 00:00,1713.92,1725.88,1699.2,1703.38,-1054,-0.62,
09/05/2022 00:00,1707.0,1715.63,1707.0,1713.93,693,0.40,
09/02/2022 00:00,1696.3,1717.76,1695.6,1711.6,1530,0.89,
09/01/2022 00:00,1708.79,1708.79,1689.0,1697.4,-1139,-0.67,
08/31/2022 00:00,1723.17,1726.41,1705.68,1708.77,-1440,-0.84,
08/30/2022 00:00,1739.46,1740.46,1720.91,1723.24,-1622,-0.94,
08/29/2022 00:00,1733.81,1745.22,1719.71,1739.54,573,0.33,
08/26/2022 00:00,1756.42,1757.42,1733.63,1737.2,-1922,-1.11,
08/25/2022 00:00,1750.96,1765.31,1749.7,1756.53,557,0.32,
08/24/2022 00:00,1746.24,1755.69,1742.76,1750.91,467,0.27,
08/23/2022 00:00,1735.47,1753.98,1731.07,1746.03,1056,0.60,
08/22/2022 00:00,1743.3,1743.67,1727.5,1735.19,-811,-0.47,
08/19/2022 00:00,1758.36,1758.46,1744.7,1746.74,-1162,-0.67,
08/18/2022 00:00,1764.72,1772.12,1755.46,1758.45,-627,-0.36,
08/17/2022 00:00,1775.35,1782.17,1759.98,1764.87,-1048,-0.59,
08/16/2022 00:00,1778.63,1782.99,1771.84,1775.37,-326,-0.18,
08/15/2022 00:00,1799.12,1801.58,1772.32,1778.41,-2071,-1.16,
08/12/2022 00:00,1788.8,1802.03,1784.5,1801.53,1273,0.71,
08/11/2022 00:00,1790.7,1799.11,1783.4,1789.01,-169,-0.09,
08/10/2022 00:00,1793.98,1807.39,1786.8,1791.65,-233,-0.13,
08/09/2022 00:00,1789.15,1799.67,1783.01,1793.98,483,0.27,
08/08/2022 00:00,1774.19,1790.23,1771.0,1789.14,1495,0.84,
08/05/2022 00:00,1793.25,1794.72,1765.28,1773.83,-1942,-1.09,
08/04/2022 00:00,1763.61,1794.76,1763.11,1793.14,2953,1.65,
08/03/2022 00:00,1757.16,1772.54,1754.5,1763.63,647,0.37,
08/02/2022 00:00,1772.09,1787.91,1754.9,1756.66,-1543,-0.88,
08/01/2022 00:00,1761.7,1774.85,1758.44,1771.98,1028,0.58,
07/29/2022 00:00,1755.02,1767.85,1752.31,1766.01,1099,0.62,
07/28/2022 00:00,1738.6,1757.04,1734.21,1754.93,1633,0.93,
07/27/2022 00:00,1718.04,1740.1,1712.04,1738.7,2066,1.19,
07/26/2022 00:00,1719.11,1727.93,1713.86,1717.85,-126,-0.07,
07/25/2022 00:00,1725.31,1735.61,1714.21,1718.88,-643,-0.37,
07/22/2022 00:00,1718.0,1738.79,1712.86,1726.5,850,0.49,
07/21/2022 00:00,1695.03,1720.2,1681.09,1718.45,2342,1.36,
